crop,vegetation_stress_score,water_stress_score,soil_stress_score,final_stress_percent,stress_category,yellow_rust,fusarium_head_blight,brown_rust,powdery_mildew,leaf_blight,root_rot,smut,dominant_Disease,growth_stage,das_min,das_max,gdd_min,gdd_max, 
wheat,0.8,0.2,0.2,50.0,Moderate Stress,0.438,0.625,0.375,0.125,0.312,0.25,0.25,fusarium_head_blight,Heading,66,75,1100,1300,
wheat,0.8,0.5,0.2,54.5,Moderate Stress,0.0,0.229,0.0,0.064,0.191,0.318,0.191,root_rot,Emergence,6,10,120,180,
wheat,0.5,0.2,0.2,35.0,Moderate Stress,0.235,0.411,0.176,0.059,0.118,0.118,0.294,fusarium_head_blight,Heading,66,75,1100,1300,
wheat,0.2,0.8,0.8,59.0,Moderate Stress,0.324,0.777,0.388,0.194,0.259,0.13,0.194,fusarium_head_blight,Flowering,75,85,1300,1500,
wheat,0.8,0.5,0.5,65.0,High Stress,0.0,0.238,0.0,0.066,0.199,0.331,0.199,root_rot,Emergence,6,10,120,180,
wheat,0.8,0.2,0.8,53.0,Moderate Stress,0.316,0.759,0.38,0.19,0.253,0.127,0.19,fusarium_head_blight,Heading,66,75,1100,1300,
wheat,0.2,0.8,0.5,44.0,Moderate Stress,0.122,0.244,0.183,0.305,0.366,0.183,0.061,leaf_blight,Tillering,11,30,200,600,
wheat,0.5,0.2,0.5,36.5,Moderate Stress,0.118,0.237,0.177,0.296,0.355,0.177,0.059,leaf_blight,Tillering,11,30,200,600,
wheat,0.8,0.2,0.8,62.0,High Stress,0.0,0.236,0.0,0.066,0.196,0.328,0.196,root_rot,Emergence,6,10,120,180,
wheat,0.5,0.5,0.5,50.0,Moderate Stress,0.312,0.75,0.375,0.188,0.25,0.125,0.188,fusarium_head_blight,Heading,66,75,1100,1300,
wheat,0.5,0.2,0.8,47.0,Moderate Stress,0.309,0.741,0.37,0.185,0.247,0.124,0.185,fusarium_head_blight,Heading,66,75,1100,1300,
wheat,0.5,0.5,0.5,54.5,Moderate Stress,0.0,0.229,0.0,0.064,0.191,0.318,0.191,root_rot,Emergence,6,10,120,180,
wheat,0.2,0.5,0.2,29.0,Low Stress,0.229,0.401,0.172,0.057,0.114,0.114,0.286,fusarium_head_blight,Heading,66,75,1100,1300,
wheat,0.5,0.2,0.2,30.5,Moderate Stress,0.0,0.207,0.0,0.058,0.173,0.288,0.173,root_rot,Emergence,6,10,120,180,
wheat,0.2,0.2,0.8,32.0,Moderate Stress,0.29,0.174,0.348,0.348,0.406,0.232,0.116,leaf_blight,Tillering,11,30,200,600,
