crop,vegetation_stress_score,water_stress_score,soil_stress_score,final_stress_percent,stress_category,yellow_rust,fusarium_head_blight,brown_rust,powdery_mildew,leaf_blight,root_rot,smut,dominant_Disease,growth_stage,das_min,das_max,gdd_min,gdd_max, 
wheat,0.8,0.2,0.2,50.0,Moderate Stress,0.438,0.625,0.0,0.0,0.312,0.0,0.0,fusarium_head_blight,Heading,66,75,1100,1300,
wheat,0.8,0.5,0.2,54.5,Moderate Stress,0.0,0.0,0.0,0.0,0.0,0.318,0.191,root_rot,Emergence,6,10,120,180,
wheat,0.5,0.2,0.2,35.0,Moderate Stress,0.235,0.411,0.0,0.0,0.118,0.0,0.0,fusarium_head_blight,Heading,66,75,1100,1300,
wheat,0.2,0.8,0.8,59.0,Moderate Stress,0.324,0.777,0.0,0.0,0.259,0.0,0.0,fusarium_head_blight,Flowering,75,85,1300,1500,
wheat,0.8,0.5,0.5,65.0,High Stress,0.0,0.0,0.0,0.0,0.0,0.331,0.199,root_rot,Emergence,6,10,120,180,
wheat,0.8,0.2,0.8,53.0,Moderate Stress,0.316,0.759,0.0,0.0,0.253,0.0,0.0,fusarium_head_blight,Heading,66,75,1100,1300,
wheat,0.2,0.8,0.5,44.0,Moderate Stress,0.122,0.0,0.183,0.305,0.0,0.183,0.0,leaf_blight,Tillering,11,30,200,600,
wheat,0.5,0.2,0.5,36.5,Moderate Stress,0.118,0.0,0.177,0.296,0.0,0.177,0.0,leaf_blight,Tillering,11,30,200,600,
wheat,0.8,0.2,0.8,62.0,High Stress,0.0,0.0,0.0,0.0,0.0,0.328,0.196,root_rot,Emergence,6,10,120,180,
wheat,0.5,0.5,0.5,50.0,Moderate Stress,0.312,0.75,0.0,0.0,0.25,0.0,0.0,fusarium_head_blight,Heading,66,75,1100,1300,
wheat,0.5,0.2,0.8,47.0,Moderate Stress,0.309,0.741,0.0,0.0,0.247,0.0,0.0,fusarium_head_blight,Heading,66,75,1100,1300,
wheat,0.5,0.5,0.5,54.5,Moderate Stress,0.0,0.0,0.0,0.0,0.0,0.318,0.191,root_rot,Emergence,6,10,120,180,
wheat,0.2,0.5,0.2,29.0,Low Stress,0.229,0.401,0.0,0.0,0.114,0.0,0.0,fusarium_head_blight,Heading,66,75,1100,1300,
wheat,0.5,0.2,0.2,30.5,Moderate Stress,0.0,0.0,0.0,0.0,0.0,0.288,0.173,root_rot,Emergence,6,10,120,180,
wheat,0.2,0.2,0.8,32.0,Moderate Stress,0.29,0.0,0.348,0.348,0.0,0.232,0.0,leaf_blight,Tillering,11,30,200,600,
wheat,0.8,0.8,0.8,71.0,High Stress,0.271,0.474,0.0,0.0,0.136,0.0,0.0,fusarium_head_blight,Heading,66,75,1100,1300,
wheat,0.8,0.2,0.5,56.0,Moderate Stress,0.256,0.448,0.0,0.0,0.128,0.0,0.0,fusarium_head_blight,Heading,66,75,1100,1300,
wheat,0.8,0.2,0.5,47.0,Moderate Stress,0.0,0.0,0.0,0.0,0.0,0.309,0.185,root_rot,Emergence,6,10,120,180,
wheat,0.2,0.8,0.5,53.0,Moderate Stress,0.253,0.443,0.0,0.0,0.127,0.0,0.0,fusarium_head_blight,Heading,66,75,1100,1300,
wheat,0.8,0.5,0.8,62.0,High Stress,0.32,0.78,0.0,0.0,0.24,0.0,0.0,fusarium_head_blight,Flowering,75,85,1300,1500,
wheat,0.8,0.2,0.8,62.0,High Stress,0.35,0.82,0.0,0.0,0.22,0.0,0.0,fusarium_head_blight,Flowering,75,85,1300,1500,
wheat,0.8,0.8,0.2,59.0,Moderate Stress,0.0,0.0,0.0,0.0,0.0,0.12,0.34,smut,Emergence,6,10,120,180,
wheat,0.2,0.8,0.8,50.0,Moderate Stress,0.26,0.61,0.0,0.0,0.21,0.0,0.0,fusarium_head_blight,Heading,66,75,1100,1300,
wheat,0.2,0.8,0.8,59.0,Moderate Stress,0.3,0.69,0.0,0.0,0.23,0.0,0.0,fusarium_head_blight,Heading,66,75,1100,1300,
wheat,0.5,0.2,0.5,36.5,Moderate Stress,0.14,0.0,0.16,0.62,0.0,0.12,0.0,leaf_blight,Tillering,11,30,200,600,
wheat,0.5,0.5,0.8,56.0,Moderate Stress,0.33,0.58,0.0,0.0,0.27,0.0,0.0,fusarium_head_blight,Heading,66,75,1100,1300,
wheat,0.5,0.2,0.2,30.5,Moderate Stress,0.1,0.0,0.12,0.55,0.0,0.18,0.0,leaf_blight,Tillering,11,30,200,600,
wheat,0.2,0.2,0.8,41.0,Moderate Stress,0.18,0.0,0.21,0.58,0.0,0.17,0.0,leaf_blight,Tillering,11,30,200,600,
wheat,0.2,0.5,0.2,29.0,Low Stress,0.0,0.0,0.0,0.0,0.0,0.22,0.18,root_rot,Germination,1,5,50,110,
wheat,0.8,0.8,0.5,65.0,High Stress,0.34,0.83,0.0,0.0,0.23,0.0,0.0,fusarium_head_blight,Flowering,75,85,1300,1500,
wheat,0.5,0.8,0.5,63.5,High Stress,0.31,0.76,0.0,0.0,0.24,0.0,0.0,fusarium_head_blight,Flowering,75,85,1300,1500,
wheat,0.2,0.8,0.2,42.5,Moderate Stress,0.18,0.0,0.21,0.61,0.0,0.14,0.0,leaf_blight,Tillering,11,30,200,600,
wheat,0.8,0.2,0.2,41.0,Moderate Stress,0.22,0.0,0.26,0.57,0.0,0.13,0.0,leaf_blight,Tillering,11,30,200,600,
wheat,0.2,0.5,0.5,44.0,Moderate Stress,0.2,0.0,0.24,0.6,0.0,0.15,0.0,leaf_blight,Tillering,11,30,200,600,
wheat,0.8,0.2,0.8,57.5,Moderate Stress,0.29,0.71,0.0,0.0,0.22,0.0,0.0,fusarium_head_blight,Heading,66,75,1100,1300,
wheat,0.5,0.5,0.5,54.5,Moderate Stress,0.27,0.65,0.0,0.0,0.21,0.0,0.0,fusarium_head_blight,Heading,66,75,1100,1300,
wheat,0.2,0.2,0.8,36.5,Moderate Stress,0.16,0.0,0.19,0.59,0.0,0.17,0.0,leaf_blight,Tillering,11,30,200,600,
wheat,0.8,0.8,0.5,74.0,High Stress,0.36,0.88,0.0,0.0,0.22,0.0,0.0,fusarium_head_blight,Flowering,75,85,1300,1500,
wheat,0.8,0.2,0.2,50.0,Moderate Stress,0.24,0.52,0.0,0.0,0.23,0.0,0.0,fusarium_head_blight,Heading,66,75,1100,1300,
wheat,0.2,0.2,0.5,35.0,Moderate Stress,0.17,0.0,0.19,0.58,0.0,0.18,0.0,leaf_blight,Tillering,11,30,200,600,
wheat,0.8,0.5,0.2,50.0,Moderate Stress,0.26,0.56,0.0,0.0,0.22,0.0,0.0,fusarium_head_blight,Heading,66,75,1100,1300,
